164,447,1659,1813,3820,1232,36,1713,1375,1835
91,90,162,289,290,89,163,243,1033,95
580,513,68,156,155,48,343,65,55,253
539,783,1969,4738,201,2993,493,79,200,536
777,191,989,908,1439,949,2457,4137,396,1280
402,1166,1231,226,296,2652,409,221,1091,202
172,331,1364,2589,3086,688,1802,3155,2381,965
171,688,5200,147,6045,2589,1364,859,3086,2381
3330,2178,1373,1003,1674,4790,996,730,127,2641
4092,209,4402,4639,424,4117,4135,4235,67,2339
474,55,736,4003,56,343,823,65,830,140
177,4173,373,372,4261,4177,1037,4250,2158,3074
176,4173,373,4261,4250,4177,372,5759,101,1037
703,202,389,230,520,6009,5831,226,221,1740
140,56,3125,736,474,823,345,4003,65,1863
1069,3724,2959,39,975,1988,5315,194,4290,2151
561,352,1814,395,574,741,543,1608,578,354
92,400,5709,2256,5149,888,94,95,3440,556
77,75,312,74,219,236,217,2096,1962,1020
128,1072,5199,1206,1040,1235,2913,64,206,344
52,102,3456,18,1739,16,4,3968,11,588
5864,5685,690,5753,1896,4617,5662,828,5075,2780
190,2270,3417,677,1226,1567,4930,1699,1367,2586
1822,5352,5386,3801,4883,4766,4837,3420,1998,4085
2406,558,2023,4614,5025,421,4086,2726,3856,5806
281,505,4342,5601,187,3617,3765,309,5543,4460
1439,305,2675,4658,989,908,3963,5779,2818,1826
210,212,1378,211,812,1844,2377,4822,262,2024
481,1637,1725,1371,1330,6037,1636,2453,1610,2132
200,201,195,196,203,204,1616,198,39,41
196,194,204,200,201,203,1616,4995,202,1531
195,194,204,200,1616,201,203,285,1431,202
200,201,402,120,123,118,3724,1616,124,74
199,752,200,201,194,219,3994,49,222,154
198,752,3315,142,3994,1854,366,5825,200,219
201,194,1616,195,203,196,204,198,202,219
200,194,1616,203,204,196,195,198,4738,168
389,230,178,1091,203,3864,6009,1231,520,492
200,1616,201,194,195,196,204,202,783,1188
196,195,200,201,194,1616,203,4995,1431,179
1260,1009,833,5061,2200,2407,440,1810,442,2948
63,110,339,344,64,723,128,184,1235,1206
604,901,5395,2922,3939,4402,4117,4090,4015,1964
771,392,109,2115,3121,33,32,1572,447,4923
329,3489,248,4640,69,4092,174,2417,1097,1964
192,212,211,1378,581,812,1211,1844,3246,3311
4621,1629,3201,582,3607,1693,272,5358,499,4116
192,210,437,37,4822,262,1844,1157,295,3246
236,284,227,228,231,167,219,823,119,75
5929,4089,4047,4201,2833,2414,5966,5842,5742,6010
740,217,157,284,236,167,65,823,179,219
219,220,217,218,18,16,288,915,257,249
218,219,220,216,736,179,140,345,215,157
219,217,216,220,7,11,9,648,808,285
220,218,216,217,2692,1149,41,49,159,47
219,217,216,218,154,49,45,42,41,159
226,390,223,286,232,1816,2867,983,994,1817
285,1922,4748,6091,219,49,943,2867,159,158
390,286,226,221,230,389,520,2080,1817,4823
225,236,864,120,1116,402,121,284,228,227
224,231,1116,864,285,402,2707,236,120,121
