GameID,Name,Genre,ESRB,Platform,Publisher,Developer,Score,Year,URL
6202,smash tv,shooter,t,xbl,midway games,digital eclipse,7.8,2005,/games/boxart/full_3104531AmericaFrontccc.jpg
6203,snakes,puzzle,e,ngage,nokia,iomo,8.4,2005,/games/boxart/full_snakes_148AmericaFront.jpg
6204,sneak king,action,e,xb,king games,blitz games,5.8,2006,/games/boxart/8843850ccc.jpg
6205,sneak king,action,e,x360,king games,king games,5.8,2006,/games/boxart/81858ccc.jpg
6206,sniper: ghost warrior,shooter,m,xbl,city interactive,city interactive,4.3,2011,/games/boxart/full_sniper-ghost-warrior_749AmericaFront.jpg
6207,sno-cross championship racing,racing,e,dc,crave entertainment,uds,4.8,2000,/games/boxart/7582507ccc.jpg
6208,snoopy flying ace,action,e10,xbl,microsoft,smart bomb interactive,8.1,2010,/games/boxart/full_89838AmericaFrontccc.jpg
6209,socom: u.s. navy seals confrontation,shooter,m,psn,sony computer entertainment,slant six games,6.3,2008,/games/boxart/full_9329653AmericaFrontccc.jpg
6210,soldier of fortune,shooter,m,dc,crave entertainment,runecraft,7.6,2001,/games/boxart/7573034ccc.jpg
6211,soldner-x 2: final prototype,shooter,e,psn,eastasiasoft,sidequest studios,6.8,2010,/games/boxart/full_soldner-x-2-final-prototype_985AmericaFront.jpg
6212,soldner-x: himmelssturmer,shooter,e,psn,eastasiasoft,sidequest studios,6.3,2008,/games/boxart/full_soldner-x-himmelssturmer_976AmericaFront.jpg
6213,solomon's key,puzzle,e,vc,tecmo,tecmo,7,2006,/games/boxart/full_8801976AmericaFrontccc.jpg
6214,sonic & knuckles,platform,e,vc,sega,sonic team,9,2010,/games/boxart/full_9013317AmericaFrontccc.jpg
6215,sonic adventure,platform,e,xbl,sega,sonic team,4.3,2010,/games/boxart/full_sonic-adventure_8AmericaFront.jpg
6216,sonic adventure,platform,e,psn,sega,sonic team,4.2,2010,/games/boxart/full_sonic-adventure_4AmericaFront.jpg
6217,sonic battle,fighting,e,gba,thq,sonic team/dimps corporation,7.9,2004,/games/boxart/1510172ccc.jpg
6218,sonic shuffle,action,e,dc,sega,sega,5.5,2000,/games/boxart/5614612ccc.png
6219,sonic the hedgehog,platform,e,vc,sega,sonic team,7.7,2006,/games/boxart/3146348ccc.gif
6220,sonic the hedgehog 4: episode 1,platform,e,psn,sega,dimps corporation,7.6,2010,/games/boxart/full_sonic-the-hedgehog-4-episode-1_7AmericaFront.jpg
6221,sonic the hedgehog 4: episode 1,platform,e,xbl,sega,dimps corporation,7.5,2010,/games/boxart/full_sonic-the-hedgehog-4-episode-1_140AmericaFront.jpg
6222,sonic the hedgehog 4: episode 1,platform,e,ww,sega,dimps corporation,7.7,2010,/games/boxart/full_5265767AmericaFrontccc.jpg
6223,sonicn,platform,e,ngage,sega,sonic team,5.4,2003,/games/boxart/full_sonicn_953AmericaFront.jpg
6224,soul fighter,fighting,t,dc,mindscape,toka,4.1,1999,/games/boxart/2680469ccc.jpg
6225,soulcalibur,fighting,t,xbl,namco bandai games,namco,7.5,2008,/games/boxart/full_372292AmericaFrontccc.jpg
6226,south park,shooter,m,pc,acclaim entertainment,iguana entertainment,4.3,1999,/games/boxart/full_south-park_996AmericaFront.jpg
6227,south park let's go tower defense play!,strategy,m,xbl,microsoft,double six,7.8,2009,/games/boxart/full_3367413AmericaFrontccc.jpg
6228,south park rally,racing,m,dc,acclaim entertainment,tantalus interactive,3.9,2000,/games/boxart/6633467ccc.jpg
6229,south park rally,racing,m,pc,acclaim entertainment,tantalus interactive,4.1,1999,/games/boxart/full_9412310AmericaFrontccc.jpg
6230,south park: chef's luv shack,misc,m,dc,acclaim entertainment,acclaim studios austin,4.6,1999,/games/boxart/full_3920949AmericaFrontccc.jpg
6231,south park: chef's luv shack,misc,m,pc,acclaim entertainment,acclaim studios austin,5.2,1999,/games/boxart/full_6294489AmericaFrontccc.jpg
6232,space channel 5,misc,t,dc,sega,united game artists,8.1,2000,/games/boxart/2868292ccc.jpg
6233,space harrier ii,shooter,e,vc,sega,sega,5.5,2006,/games/boxart/8730424ccc.png
6234,space invaders extreme,shooter,e,xbl,taito,backbone entertainment,8,2009,/games/boxart/full_1930733AmericaFrontccc.jpg
6235,space invaders infinity gene,shooter,e,psn,square enix,taito corporation,8.3,2010,/games/boxart/full_space-invaders-infinity-gene_7AmericaFront.jpg
6236,space invaders infinity gene,shooter,e,xbl,square enix,taito corporation,8.2,2010,/games/boxart/full_space-invaders-infinity-gene_8AmericaFront.jpg
6237,space rangers,simulation,,pc,1c company,elemental games,9,2002,/games/boxart/full_2565706PALFrontccc.jpg
6238,spaceforce: captains,strategy,e10,pc,dreamcatcher interactive,provox games,4.1,2008,/games/boxart/full_6118356AmericaFrontccc.jpg
6239,spawn: in the demon's hand,action,m,dc,capcom,capcom,5.8,2000,/games/boxart/334334ccc.jpg
